doi,halId,hal_coverage,upw_coverage,title,hal_docType,hal_location,hal_openAccess_bool,hal_submittedDate,hal_licence,hal_selfArchiving,hal_domain,published_date,published_year,journal_name,journal_issns,publisher,genre,journal_issn_l,oa_status,upw_location,version,suspicious_journal,licence,journal_is_in_doaj,journal_is_oa,author_count,is_paratext
,hal-01213565,in,,Inscription de l'architecture commerciale,COUV,file,True,2015-10-08 21:33:57,http://creativecommons.org/licenses/by-nc-nd/,True,['0.shs'],2013,2013.0,,False,,,,,,,,,,,1.0,
,hal-01241177,in,,Marche et environnements urbains contrastés. Perspectives internationales et interdisciplinaires,DOUV,notice,False,2015-12-10 09:44:06,,True,['0.shs'],2015-12-01,2015.0,,False,,,,,,,,,,,4.0,
,hal-01274986,in,,La construction du chez-soi dans la transition énergétique : entre conceptions de la performance et pratiques habitantes,DOUV,file,True,2016-02-22 12:35:39,,True,['0.shs'],2015-10,2015.0,,False,,,,,,,,,,,4.0,
,hal-01295465,in,,Catégories d'analyse de l'environnement urbain,COUV,notice,False,2016-03-31 10:13:47,,True,['0.shs'],2001,2001.0,,False,,,,,,,,,,,1.0,
,hal-01295476,in,,L'hypothèse des formants,COUV,notice,False,2016-03-31 10:31:09,,True,['0.shs'],2004,2004.0,,False,,,,,,,,,,,1.0,
,hal-01324078,in,,Les crieurs publics,COUV,notice,False,2016-05-31 15:43:09,,False,['0.shs'],2015,2015.0,,False,,,,,,,,,,,1.0,
,hal-01347499,in,,"Towards a mixed approach combining visibility and mobility studies to analyze the Eleftheria Square, Nicosia (CY)",COUV,file,True,2016-07-21 10:50:51,,True,"['0.info', '0.shs', '0.sde']",2012,2012.0,,False,,,,,,,,,,,2.0,
,hal-01347580,in,,"Usage, Usability, and Utility of 3D City Models – European COST Action TU0801",DOUV,notice,False,2016-07-21 11:37:30,,True,"['0.info', '0.shs', '0.sde']",2012,2012.0,,False,,,,,,,,,,,3.0,
,hal-01358228,in,,L'usager dans la construction métropolitaine nantaise,COUV,file,True,2020-03-12 16:01:32,http://creativecommons.org/licenses/by-nc-nd/,True,['0.shs'],2015-10,2015.0,,False,,,,,,,,,,,1.0,
,hal-01373799,in,,La qualité sonore des espaces habités / Sonic quality in the living environment,DOUV,file,True,2018-10-25 12:19:23,,False,['0.shs'],1992,1992.0,,False,,,,,,,,,,,35.0,
,hal-01459043,in,,"Aτμόσφαιρες, αύριο. Ambiances, demain. Ambiances, tomorrow",DOUV,file,True,2017-11-10 13:46:10,,False,['0.shs'],2016,2016.0,,False,,,,,,,,,,,2.0,
,hal-01488320,in,,Traversées urbaines,DOUV,notice,False,2017-05-12 09:53:00,,True,['0.shs'],2015,2015.0,,False,,,,,,,,,,,2.0,
,hal-01502105,in,,L’imaginaire filmique de jeunes architectes,COUV,file,True,2017-04-05 09:48:34,,True,['0.shs'],2015,2015.0,,False,,,,,,,,,,,2.0,
,hal-01518091,in,,Le transect urbain. Pour une écriture corrélée des ambiances et de l’environnement,COUV,file,True,2017-05-04 11:29:37,,False,['0.shs'],2016,2016.0,,False,,,,,,,,,,,1.0,
